學術搜尋|Academic search|学术搜索|論文検索|논문 검색
PDF 閱讀器|PDF reader|PDF 阅读器|PDF リーダー|PDF 리더
引用證據|Citation evidence|引用证据|引用の根拠|인용 근거
論文庫|Library|论文库|ライブラリ|라이브러리
AI 設定|AI settings|AI 设置|AI 設定|AI 설정
ChatGPT 帳號|ChatGPT account|ChatGPT 账号|ChatGPT アカウント|ChatGPT 계정
搜尋論文|Search papers|搜索论文|論文を検索|논문 검색
搜尋|Search|搜索|検索|검색
上傳 PDF|Upload PDF|上传 PDF|PDF をアップロード|PDF 업로드
上傳 PDF 閱讀|Read a PDF|上传 PDF 阅读|PDF を読む|PDF 읽기
加入 Library|Save to library|加入论文库|ライブラリに保存|라이브러리에 저장
文件|Document|文档|文書|문서
論文閱讀器|Paper reader|论文阅读器|論文リーダー|논문 리더
研究助理|Research assistant|研究助理|研究アシスタント|연구 도우미
拖入 PDF|Drop a PDF here|拖入 PDF|PDF をここにドロップ|PDF를 여기에 놓으세요
或點擊選擇檔案|Or click to choose a file|或点击选择文件|またはクリックしてファイルを選択|또는 클릭하여 파일 선택
選擇 PDF|Choose PDF|选择 PDF|PDF を選択|PDF 선택
或貼 PDF URL|Or paste a PDF URL|或粘贴 PDF URL|または PDF の URL を貼り付け|또는 PDF URL 붙여넣기
開啟 PDF URL|Open PDF URL|打开 PDF URL|PDF の URL を開く|PDF URL 열기
開啟 PDF|Open PDF|打开 PDF|PDF を開く|PDF 열기
適合寬度|Fit width|适合宽度|幅に合わせる|너비에 맞추기
目前選取|Selected text|当前选择|選択したテキスト|선택한 텍스트
翻譯|Translate|翻译|翻訳|번역
解釋|Explain|解释|解説|설명
對我的研究|Research relevance|对我的研究|研究との関連性|내 연구와의 관련성
高亮|Highlight|高亮|ハイライト|강조
註記|Comment|注释|コメント|메모
提問|Ask a question|提问|質問する|질문하기
摘要|Summary|摘要|要約|요약
筆記|Notes|笔记|ノート|노트
引用資訊|Citation details|引用信息|引用情報|인용 정보
高精度重分析|Reanalyze figure|重新分析图表|図を再分析|그림 재분석
等待分析|Waiting for analysis|等待分析|分析待ち|분석 대기 중
產生本機摘要|Extract local summary|生成本地摘要|ローカル要約を抽出|로컬 요약 추출
AI 深度摘要|AI detailed summary|AI 深度摘要|AI 詳細要約|AI 상세 요약
延伸搜尋|Related search|扩展搜索|関連検索|관련 검색
匯出筆記|Export notes|导出笔记|ノートを書き出す|노트 내보내기
清空|Clear all|清空|すべて消去|모두 지우기
取消|Cancel|取消|キャンセル|취소
儲存|Save|保存|保存|저장
儲存本機|Save locally|保存到本地|ローカルに保存|로컬에 저장
儲存設定|Save settings|保存设置|設定を保存|설정 저장
清除|Clear|清除|消去|지우기
清除設定|Clear settings|清除设置|設定を消去|설정 지우기
完成|Done|完成|完了|완료
關閉|Close|关闭|閉じる|닫기
重新整理|Refresh|刷新|更新|새로고침
登入 ChatGPT|Sign in to ChatGPT|登录 ChatGPT|ChatGPT にログイン|ChatGPT 로그인
登出|Sign out|退出登录|ログアウト|로그아웃
測試模型回答|Test model response|测试模型回答|モデルの応答をテスト|모델 응답 테스트
取消分析|Cancel analysis|取消分析|分析をキャンセル|분석 취소
模型|Model|模型|モデル|모델
推理強度|Reasoning effort|推理强度|推論の強度|추론 강도
低|Low|低|低|낮음
中|Medium|中|中|중간
高|High|高|高|높음
更高|Very high|更高|非常に高い|매우 높음
尚未登入|Not signed in|尚未登录|未ログイン|로그인되지 않음
正在連線…|Connecting…|正在连接…|接続中…|연결 중…
處理中…|Processing…|处理中…|処理中…|처리 중…
分析已結束|Analysis finished|分析已结束|分析が終了しました|분석 완료
正在確認 ChatGPT 帳號…|Checking ChatGPT account…|正在确认 ChatGPT 账号…|ChatGPT アカウントを確認中…|ChatGPT 계정 확인 중…
正在確認可用模型…|Checking available models…|正在确认可用模型…|利用可能なモデルを確認中…|사용 가능한 모델 확인 중…
模型已收到問題，正在分析…|Model received your question. Analyzing…|模型已收到问题，正在分析…|モデルが質問を受信しました。分析中…|모델이 질문을 받았습니다. 분석 중…
正在接收模型回答…|Receiving the model response…|正在接收模型回答…|モデルの応答を受信中…|모델 응답 수신 중…
已取消 AI 分析|AI analysis cancelled|已取消 AI 分析|AI 分析をキャンセルしました|AI 분석 취소됨
已有分析正在進行|An analysis is already running|已有分析正在进行|分析がすでに実行中です|분석이 이미 진행 중입니다
